pol_0,pol_1,val_0,val_1
0,0,4917.275212029643,4917.275212029643
0,0,4937.978545695892,4937.978545695892
0,0,4958.8456214492435,4958.8456214492435
0,0,4979.8780385250375,4979.8780385250375
0,0,5001.07741649761,5001.07741649761
0,0,5022.445395462478,5022.445395462478
0,0,5043.983636223742,5043.983636223742
0,0,5065.693820486953,5065.693820486953
0,0,5087.57765105709,5087.57765105709
0,0,5109.636852041936,5109.636852041936
0,0,5131.873169060322,5131.873169060322
0,0,5154.288369456099,5154.288369456099
0,0,5176.884242516367,5176.884242516367
0,0,5199.662599695647,5199.662599695647
0,0,5222.625274844632,5222.625274844632
0,0,5245.774124444044,5245.774124444044
0,0,5269.111027843569,5269.111027843569
0,0,5292.637887505958,5292.637887505958
0,0,5316.3566292555715,5316.3566292555715
0,0,5340.269202532681,5340.269202532681
0,0,5364.3775806520825,5364.3775806520825
0,0,5388.683761066878,5388.683761066878
0,0,5413.189765637346,5413.189765637346
0,0,5437.897640904766,5437.897640904766
0,0,5462.8094583698285,5462.8094583698285
0,0,5487.927314776531,5487.927314776531
0,0,5513.253332400637,5513.253332400637
0,0,5538.789659343307,5538.789659343307
0,0,5564.538469829902,5564.538469829902
0,0,5590.501964513065,5590.501964513065
0,0,5616.682370781862,5616.682370781862
0,0,5643.081943075201,5643.081943075201
0,0,5669.70296320051,5669.70296320051
0,0,5696.5477406577,5696.5477406577
0,0,5723.618612967941,5723.618612967941
0,0,5750.917946007884,5750.917946007884
0,0,5778.448134348744,5778.448134348744
0,0,5806.211601600899,5806.211601600899
0,0,5834.210800763434,5834.210800763434
0,0,5862.448214579282,5862.448214579282
0,0,5890.926355895312,5890.926355895312
0,0,5919.64776802814,5919.64776802814
0,0,5948.615025135004,5948.615025135004
0,0,5977.830732590511,5977.830732590511
0,0,6007.29752736814,6007.29752736814
0,0,6037.01807842821,6037.01807842821
0,0,6066.9950871106885,6066.9950871106885
0,0,6097.231287533917,6097.231287533917
0,0,6127.729446999095,6127.729446999095
0,0,6158.492366400301,6158.492366400301
0,0,6189.522880640524,6189.522880640524
0,0,6220.823859053213,6220.823859053213
0,0,6252.398205830178,6252.398205830178
0,0,6284.248860455029,6284.248860455029
0,0,6316.378798142925,6316.378798142925
0,0,6348.791030286252,6348.791030286252
0,0,6381.488604906408,6381.488604906408
0,0,6414.474607112091,6414.474607112091
0,0,6447.752159563416,6447.752159563416
0,0,6481.3244229427555,6481.3244229427555
0,0,6515.194596431666,6515.194596431666
0,0,6549.3659181945695,6549.3659181945695
0,0,6583.841665868857,6583.841665868857
0,0,6618.625157061576,6618.625157061576
0,0,6653.719749852807,6653.719749852807
0,0,6689.128843305709,6689.128843305709
0,0,6724.855877983715,6724.855877983715
0,0,6760.90433647434,6760.90433647434
0,0,6797.277743919892,6797.277743919892
0,0,6833.979668555537,6833.979668555537
0,0,6871.013722254293,6871.013722254293
0,0,6908.383561079284,6908.383561079284
0,0,6946.09288584323,6946.09288584323
0,0,6984.145442675426,6984.145442675426
0,0,7022.545023596004,7022.545023596004
