pol_0,pol_1,val_0,val_1
0,0,30674.010923421196,30674.010923421196
0,0,30703.918832584735,30703.918832584735
0,0,30734.00314391192,30734.00314391192
0,0,30764.264628783967,30764.264628783967
0,0,30794.704089924624,30794.704089924624
0,0,30825.322361053324,30825.322361053324
0,0,30856.12030654663,30856.12030654663
0,0,30887.098821103693,30887.098821103693
0,0,30918.25882941949,30918.25882941949
0,0,30949.601285866804,30949.601285866804
0,0,30981.127174186215,30981.127174186215
0,0,31012.83750718487,31012.83750718487
0,0,31044.733326445436,31044.733326445436
0,0,31076.815702045056,31076.815702045056
0,0,31109.08573228495,31109.08573228495
0,0,31141.544543430868,31141.544543430868
0,0,31174.193289464678,31174.193289464678
0,0,31207.033151847874,31207.033151847874
0,0,31240.06533929613,31240.06533929613
0,0,31273.291087567923,31273.291087567923
0,0,31306.711659261662,31306.711659261662
0,0,31340.328343629553,31340.328343629553
0,0,31374.142456399542,31374.142456399542
0,0,31408.155339613575,31408.155339613575
0,0,31442.368361475794,31442.368361475794
0,0,31476.782916213575,31476.782916213575
0,0,31511.400423952742,31511.400423952742
0,0,31546.222330602963,31546.222330602963
0,0,31581.250107757467,31581.250107757467
0,0,31616.485252603954,31616.485252603954
0,0,31651.929287847506,31651.929287847506
0,0,31687.583761647402,31687.583761647402
0,0,31723.450247563796,31723.450247563796
0,0,31759.530344517647,31759.530344517647
0,0,31795.825676761524,31795.825676761524
0,0,31832.33789386268,31832.33789386268
0,0,31869.068670697514,31869.068670697514
0,0,31906.0197074562,31906.0197074562
0,0,31943.192729660153,31943.192729660153
0,0,31980.58948818877,31980.58948818877
0,0,32018.211759317408,32018.211759317408
0,0,32056.061344766727,32056.061344766727
0,0,32094.140071761052,32094.140071761052
0,0,32132.449793098058,32132.449793098058
0,0,32170.9923872268,32170.9923872268
0,0,32209.769758338025,32209.769758338025
0,0,32248.78383646166,32248.78383646166
0,0,32288.03657757515,32288.03657757515
0,0,32327.52996372066,32327.52996372066
0,0,32367.26600313131,32367.26600313131
0,0,32407.246730366347,32407.246730366347
0,0,32447.47420645539,32447.47420645539
0,0,32487.950519050682,32487.950519050682
0,0,32528.677782588697,32528.677782588697
0,0,32569.658138458457,32569.658138458457
0,0,32610.893755180274,32610.893755180274
0,0,32652.386828590305,32652.386828590305
0,0,32694.139582035026,32694.139582035026
0,0,32736.154266570833,32736.154266570833
0,0,32778.433161174886,32778.433161174886
0,0,32820.97857296003,32820.97857296003
0,0,32863.792837399,32863.792837399
0,0,32906.87831855617,32906.87831855617
0,0,32950.23740932488,32950.23740932488
0,0,32993.872531674104,32993.872531674104
0,0,33037.78613690016,33037.78613690016
0,0,33081.98070588697,33081.98070588697
0,0,33126.45874937189,33126.45874937189
0,0,33171.22280822001,33171.22280822001
0,0,33216.27545370386,33216.27545370386
0,0,33261.619287788795,33261.619287788795
0,0,33307.25694342991,33307.25694342991
0,0,33353.19108486882,33353.19108486882
0,0,33399.42440794266,33399.42440794266
0,0,33445.95964039639,33445.95964039639
0,0,33492.79954220255,33492.79954220255
0,0,33539.946905889454,33539.946905889454
0,0,33587.40455687095,33587.40455687095
0,0,33635.17535378867,33635.17535378867
0,0,33683.26218885612,33683.26218885612
0,0,33731.66798821177,33731.66798821177
0,0,33780.39571227698,33780.39571227698
0,0,33829.44835612182,33829.44835612182
0,0,33878.828949836505,33878.828949836505
0,0,33928.540558908346,33928.540558908346
0,0,33978.58628460796,33978.58628460796
0,0,34028.96926437896,34028.96926437896
0,0,34079.69267223568,34079.69267223568
0,0,34130.75971916685,34130.75971916685
0,0,34182.1736535466,34182.1736535466
0,0,34233.937761550886,34233.937761550886
0,0,34286.05536758094,34286.05536758094
0,0,34338.52983469395,34338.52983469395
0,0,34391.364565039046,34391.364565039046
0,0,34444.56300030231,34444.56300030231
0,0,34498.12862215431,34498.12862215431
0,0,34552.06495270956,34552.06495270956
0,0,34606.37555498885,34606.37555498885
0,0,34661.064033389746,34661.064033389746
